YDL246C	SOR2	chrIV:8683-9756
YMR215W	GAS3	chrXIII:696796-698370
YMR277W	FCP1	chrXIII:820256-822454
YMR033W	ARP9	chrXIII:337788-339277
YML094C-A	YML094C-A	chrXIII:82219-82620
YML041C	VPS71	chrXIII:194913-195755
YMR305C	SCW10	chrXIII:879063-880232
YMR315W-A	YMR315W-A	chrXIII:904286-904393
YMR237W	BCH1	chrXIII:743749-745923
YML095C	RAD10	chrXIII:81481-82113
YMR018W	PEX9	chrXIII:310208-311752
YMR163C	INP2	chrXIII:584271-586388
YML027W	YOX1	chrXIII:221406-222563
ZOD1	ZOD1	chrXIII:91970-92027
tD(GUC)M	tD(GUC)M	chrXIII:463554-463625
YMR162C	DNF3	chrXIII:578951-583921
YMR158W	MRPS8	chrXIII:572248-572715
YMR210W	MGL2	chrXIII:687516-688865
YMR316C-A	YMR316C-A	chrXIII:905662-905973
YMR241W	YHM2	chrXIII:751961-752905
YMR205C	PFK2	chrXIII:671887-674766
YMR235C	RNA1	chrXIII:741512-742735
YMR047C	NUP116	chrXIII:363364-366705
YMR259C	TRM732	chrXIII:784621-788883
YMR175W-A	YMR175W-A	chrXIII:611314-611508
YMR281W	GPI12	chrXIII:832339-833253
YMR261C	TPS3	chrXIII:790205-793369
YMR026C	PEX12	chrXIII:324236-325435
YML010W	SPT5	chrXIII:247677-250868
YMR150C	IMP1	chrXIII:561956-562528
YMR067C	UBX4	chrXIII:404323-405573
YMR179W	SPT21	chrXIII:619858-622134
YMR126C	DLT1	chrXIII:520761-521789
YML032C	RAD52	chrXIII:212515-213930
YML018C	YML018C	chrXIII:234771-235952
YML081W	TDA9	chrXIII:104777-108532
YMR003W	AIM34	chrXIII:273118-273714
YMR221C	FMP42	chrXIII:713931-715445
YMR257C	PET111	chrXIII:779629-782031
YML068W	ITT1	chrXIII:137550-138944
YMR117C	SPC24	chrXIII:501250-501891
YMR060C	SAM37	chrXIII:391532-392515
YMR144W	FDO1	chrXIII:553362-554390
YMR068W	AVO2	chrXIII:406304-407584
YML097C	VPS9	chrXIII:78335-79690
YMR182C	RGM1	chrXIII:624532-625167
YMR295C	YMR295C	chrXIII:858297-858890
YMR181C	YMR181C	chrXIII:623616-624080
YML080W	DUS1	chrXIII:108806-110077
YMR194C-B	CMC4	chrXIII:652594-652887
YMR140W	SIP5	chrXIII:547714-549183
YMR058W	FET3	chrXIII:388822-390732
YMR076C	PDS5	chrXIII:416196-420029
YMR239C	RNT1	chrXIII:748262-749677
tG(GCC)M	tG(GCC)M	chrXIII:183898-183968
YMR242C	RPL20A	chrXIII:753225-753742
YMR306C-A	YMR306C-A	chrXIII:886183-886572
YMR193C-A	YMR193C-A	chrXIII:651072-651458
YMR114C	YMR114C	chrXIII:496343-497449
YMR009W	ADI1	chrXIII:284102-284641
YMR088C	VBA1	chrXIII:443414-445102
YMR253C	YMR253C	chrXIII:775946-777190
YMR103C	YMR103C	chrXIII:472902-473264
YMR254C	YMR254C	chrXIII:777615-777923
YMR303C	ADH2	chrXIII:873291-874337
YMR316W	DIA1	chrXIII:904825-905835
YML017W	PSP2	chrXIII:236588-238731
YMR104C	YPK2	chrXIII:473420-475453
YMR309C	NIP1	chrXIII:892988-895426
YML133W-A	YML133W-A	chrXIII:1610-2185
YMR155W	YMR155W	chrXIII:568551-570194
YMR313C	TGL3	chrXIII:899379-901307
YMR028W	TAP42	chrXIII:327482-328582
snR72	snR72	chrXIII:298554-298651
YMR154C	RIM13	chrXIII:565999-568182
tY(GUA)M1	SUP5	chrXIII:168795-168883
snR75	snR75	chrXIII:297918-298006
YML096W	YML096W	chrXIII:79909-81486
YML016C	PPZ1	chrXIII:239458-241536
YML006C	GIS4	chrXIII:256092-258416
YMR178W	YMR178W	chrXIII:618479-619303
YML109W	ZDS2	chrXIII:51640-54468
YML015C	TAF11	chrXIII:241989-243029
YMR197C	VTI1	chrXIII:658545-659198
YML014W	TRM9	chrXIII:243225-244064
YML106W	URA5	chrXIII:56773-57453
YML025C	YML6	chrXIII:224406-225365
tS(AGA)M	tS(AGA)M	chrXIII:259158-259239
YMR172C-A	YMR172C-A	chrXIII:607828-608211
YMR193W	MRPL24	chrXIII:650036-650812
YML052W	SUR7	chrXIII:170402-171310
YML079W	YML079W	chrXIII:110247-110852
YML101C-A	YML101C-A	chrXIII:69409-69726
YML047C	PRM6	chrXIII:180017-181075
YMR174C	PAI3	chrXIII:610159-610365
YMR218C	TRS130	chrXIII:703579-706887
YMR315W	YMR315W	chrXIII:902800-903849
YMR001C	CDC5	chrXIII:269019-271136
tV(AAC)M1	tV(AAC)M1	chrXIII:372445-372518
tE(UUC)M	tE(UUC)M	chrXIII:290801-290872
YML121W	GTR1	chrXIII:26930-27862
YMR085W	YMR085W	chrXIII:437491-438789
YMR105W-A	YMR105W-A	chrXIII:478064-478258
YMR122C	YMR122C	chrXIII:510701-511075
snR78	snR78	chrXIII:297278-297364
YMR217W	GUA1	chrXIII:701790-703367
tA(AGC)M2	tA(AGC)M2	chrXIII:768369-768441
YMR298W	LIP1	chrXIII:863819-864271
YMR057C	YMR057C	chrXIII:388359-388730
YML042W	CAT2	chrXIII:192788-194800
YMR320W	YMR320W	chrXIII:916746-917051
YMR287C	DSS1	chrXIII:842436-845345
YMR289W	ABZ2	chrXIII:848685-849809
YML048W	GSF2	chrXIII:178426-179637
YMR250W	GAD1	chrXIII:770801-772558
YMR230W-A	YMR230W-A	chrXIII:733268-733456
YMR124W	EPO1	chrXIII:514456-517287
YMR311C	GLC8	chrXIII:896914-897603
snR77	snR77	chrXIII:297506-297593
YMR322C	SNO4	chrXIII:918366-919079
YML119W	YML119W	chrXIII:30611-31684
YML043C	RRN11	chrXIII:190244-191767
YML046W	PRP39	chrXIII:181474-183363
YML004C	GLO1	chrXIII:261705-262685
YMR071C	TVP18	chrXIII:410762-411265
YMR229C	RRP5	chrXIII:725934-731123
YMR063W	RIM9	chrXIII:397077-397796
YMR301C	ATM1	chrXIII:867555-869627
YMR276W	DSK2	chrXIII:818827-819948
YMR002W	MIX17	chrXIII:272193-272663
YML081C-A	ATP18	chrXIII:103983-104162
YML019W	OST6	chrXIII:233457-234455
YMR176W	ECM5	chrXIII:611740-615975
YMR158W-B	YMR158W-B	chrXIII:574471-574791
YML108W	YML108W	chrXIII:54793-55110
YMR198W	CIK1	chrXIII:659745-661529
YML094W	GIM5	chrXIII:82275-82849
YMR006C	PLB2	chrXIII:277561-279681
YML003W	YML003W	chrXIII:263483-264355
YML057C-A	YML057C-A	chrXIII:160023-160412
YML009C-A	YML009C-A	chrXIII:250675-251001
tQ(CUG)M	CDC65	chrXIII:808246-808317
YML093W	UTP14	chrXIII:83090-85789
YMR116C	ASC1	chrXIII:499456-500688
YMR196W	YMR196W	chrXIII:655076-658342
YML053C	YML053C	chrXIII:169116-169754
YMR151W	YIM2	chrXIII:562506-562943
YML009C	MRPL39	chrXIII:251304-251516
YMR070W	MOT3	chrXIII:409154-410626
YMR219W	ESC1	chrXIII:707133-712109
YML037C	YML037C	chrXIII:204386-205408
YMR280C	CAT8	chrXIII:827028-831329
YMR170C	ALD2	chrXIII:601562-603082
YMR123W	PKR1	chrXIII:513593-513961
YML012C-A	YML012C-A	chrXIII:245537-245914
YMR019W	STB4	chrXIII:312156-315005
YMR206W	YMR206W	chrXIII:675896-676837
YMR165C	PAH1	chrXIII:590040-592628
YMR010W	ANY1	chrXIII:285100-286317
YMR184W	ADD37	chrXIII:628189-628785
YML126C	ERG13	chrXIII:19060-20535
YMR244W	YMR244W	chrXIII:757250-758317
YMR279C	YMR279C	chrXIII:824729-826351
YMR316C-B	YMR316C-B	chrXIII:907321-907629
YMR107W	SPG4	chrXIII:483014-483361
YML054C-A	YML054C-A	chrXIII:167623-167781
YMR043W	MCM1	chrXIII:353871-354731
tA(AGC)M1	tA(AGC)M1	chrXIII:321147-321219
YMR270C	RRN9	chrXIII:805326-806423
YMR175W	SIP18	chrXIII:611016-611255
YML009W-B	YML009W-B	chrXIII:250435-250911
YMR035W	IMP2	chrXIII:341142-341675
YMR108W	ILV2	chrXIII:484084-486147
YML002W	YML002W	chrXIII:264541-266754
YML111W	BUL2	chrXIII:46942-49704
YMR278W	PRM15	chrXIII:822763-824631
YMR185W	RTP1	chrXIII:629025-631970
YMR304C-A	YMR304C-A	chrXIII:878780-879130
YML084W	YML084W	chrXIII:99489-99797
YMR258C	ROY1	chrXIII:782620-784281
YMR023C	MSS1	chrXIII:319437-321017
YMR291W	TDA1	chrXIII:852630-854390
YMR041C	ARA2	chrXIII:350966-351973
YMR029C	FAR8	chrXIII:328660-330231
YMR092C	AIP1	chrXIII:451632-453479
YMR138W	CIN4	chrXIII:545155-545730
YMR122W-A	YMR122W-A	chrXIII:511315-511569
YMR053C	STB2	chrXIII:380346-382898
YMR220W	ERG8	chrXIII:712316-713671
YMR087W	YMR087W	chrXIII:442527-443381
YML031W	NDC1	chrXIII:214189-216156
YML118W	NGL3	chrXIII:32334-33851
YML120C	NDI1	chrXIII:28266-29807
YMR078C	CTF18	chrXIII:422503-424728
tL(CAA)M	tL(CAA)M	chrXIII:504895-505008
YMR042W	ARG80	chrXIII:352603-353136
YMR251W	GTO3	chrXIII:772915-774015
YMR223W	UBP8	chrXIII:716715-718130
YML007C-A	YML007C-A	chrXIII:253162-253272
YMR256C	COX7	chrXIII:778945-779127
YMR214W	SCJ1	chrXIII:695350-696483
tP(UGG)M	SUF7	chrXIII:196068-196170
YMR055C	BUB2	chrXIII:386101-387021
YML117W	NAB6	chrXIII:34243-37647
YMR271C	URA10	chrXIII:806865-807548
snR24	snR24	chrXIII:499984-500072
YMR226C	YMR226C	chrXIII:721593-722396
YML110C	COQ5	chrXIII:50031-50954
YML047W-A	YML047W-A	chrXIII:179893-180258
YML007W	YAP1	chrXIII:253848-255800
YMR190C	SGS1	chrXIII:640915-645258
YMR225C	MRPL44	chrXIII:720960-721403
YMR264W	CUE1	chrXIII:795805-796416
YMR037C	MSN2	chrXIII:344403-346517
YML024W	RPS17A	chrXIII:225889-226697
YML083C	YML083C	chrXIII:99794-101050
YMR182W-A	YMR182W-A	chrXIII:625811-625897
YMR030W	RSF1	chrXIII:330793-331923
YMR187C	YMR187C	chrXIII:634689-635984
YMR238W	DFG5	chrXIII:746353-747729
YML061C	PIF1	chrXIII:148953-151532
YMR130W	YMR130W	chrXIII:532119-533027
YMR005W	TAF4	chrXIII:276045-277211
YMR054W	STV1	chrXIII:383303-385975
YMR209C	YMR209C	chrXIII:685911-687284
YML102W	CAC2	chrXIII:68294-69700
YMR194W	RPL36A	chrXIII:651145-651910
YMR252C	YMR252C	chrXIII:775315-775719
YMR164C	MSS11	chrXIII:587274-589550
YMR074C	SDD2	chrXIII:413036-413473
YML065W	ORC1	chrXIII:142210-144954
YMR243C	ZRC1	chrXIII:754838-756166
snR85	snR85	chrXIII:67768-67938
YMR145C	NDE1	chrXIII:554793-556475
YML071C	COG8	chrXIII:129749-131572
YMR015C	ERG5	chrXIII:300869-302485
YML070W	DAK1	chrXIII:133475-135229
YMR125W	STO1	chrXIII:517539-520446
YMR325W	PAU19	chrXIII:922641-923015
YMR141W-A	YMR141W-A	chrXIII:550911-551135
YML072C	TCB3	chrXIII:124730-129367
YML105C	SEC65	chrXIII:57866-58687
YMR119W-A	YMR119W-A	chrXIII:506996-507370
YMR069W	NAT4	chrXIII:407709-408566
YMR293C	HER2	chrXIII:855399-856793
YML124C	TUB3	chrXIII:22048-23683
YMR090W	YMR090W	chrXIII:449245-449928
YML029W	USA1	chrXIII:217362-219878
YMR171C	EAR1	chrXIII:603868-605520
YMR102C	YMR102C	chrXIII:469848-472352
YMR188C	MRPS17	chrXIII:636291-637004
YMR269W	TMA23	chrXIII:804456-805091
YMR128W	ECM16	chrXIII:523696-527499
YMR039C	SUB1	chrXIII:348644-349522
YMR230W	RPS10B	chrXIII:732414-733141
YMR267W	PPA2	chrXIII:801772-802704
YMR247C	RKR1	chrXIII:763351-768039
YMR152W	YIM1	chrXIII:563096-564193
YMR251W-A	HOR7	chrXIII:774752-774931
YMR146C	TIF34	chrXIII:557481-558524
YMR228W	MTF1	chrXIII:724626-725651
YMR032W	HOF1	chrXIII:335298-337307
YMR013C-A	YMR013C-A	chrXIII:296471-296620
YMR001C-A	YMR001C-A	chrXIII:271347-271577
YMR031W-A	YMR031W-A	chrXIII:334709-335035
YMR153W	NUP53	chrXIII:564435-565862
YMR056C	AAC1	chrXIII:387315-388244
YMR282C	AEP2	chrXIII:833356-835098
YMR234W	RNH1	chrXIII:740266-741312
YMR323W	ERR3	chrXIII:920088-921401
YMR062C	ARG7	chrXIII:395054-396379
YMR247W-A	YMR247W-A	chrXIII:769283-769426
YMR038C	CCS1	chrXIII:347511-348260
YMR049C	ERB1	chrXIII:368094-370517
YMR272W-B	YMR272W-B	chrXIII:811089-811196
YMR147W	YMR147W	chrXIII:559199-559870
YML067C	ERV41	chrXIII:139063-140214
tK(CUU)M	tK(CUU)M	chrXIII:480621-480693
tR(UCU)M1	tR(UCU)M1	chrXIII:747892-747963
YML107C	PML39	chrXIII:55265-56269
snR54	snR54	chrXIII:163535-163620
YMR231W	PEP5	chrXIII:733545-736634
YMR081C	ISF1	chrXIII:430079-431095
YML051W	GAL80	chrXIII:171594-172901
YMR314W	PRE5	chrXIII:901709-902413
YMR113W	FOL3	chrXIII:494999-496282
YML031C-A	YML031C-A	chrXIII:214086-214421
YMR263W	SAP30	chrXIII:794919-795524
YML034W	SRC1	chrXIII:209525-212155
YMR131C	RRB1	chrXIII:533163-534698
YMR310C	YMR310C	chrXIII:895716-896669
YMR034C	RCH1	chrXIII:339418-340722
YML103C	NUP188	chrXIII:62582-67549
YMR306W	FKS3	chrXIII:881159-886516
YMR169C	ALD3	chrXIII:599352-600872
YMR186W	HSC82	chrXIII:632355-634472
YML059C	NTE1	chrXIII:153219-158258
YML086C	ALO1	chrXIII:95791-97371
YMR013C	SEC59	chrXIII:295179-296738
YMR127C	SAS2	chrXIII:522329-523345
YMR153C-A	YMR153C-A	chrXIII:565574-565909
YMR212C	EFR3	chrXIII:690695-693043
YMR296C	LCB1	chrXIII:859215-860891
YMR101C	SRT1	chrXIII:468445-469476
YMR166C	MME1	chrXIII:593367-594473
YMR061W	RNA14	chrXIII:392755-394788
YMR288W	HSH155	chrXIII:845571-848486
YMR265C	YMR265C	chrXIII:796540-797925
YML116W	ATR1	chrXIII:38196-39824
YML130C	ERO1	chrXIII:11483-13174
YMR273C	ZDS1	chrXIII:811233-813980
YMR292W	GOT1	chrXIII:854795-855293
YMR137C	PSO2	chrXIII:542978-544963
YMR013W-A	YMR013W-A	chrXIII:298311-298391
YML076C	WAR1	chrXIII:112513-115347
YMR082C	YMR082C	chrXIII:431769-432125
tR(UCU)M2	tR(UCU)M2	chrXIII:131825-131896
YMR022W	UBC7	chrXIII:318680-319177
YML062C	MFT1	chrXIII:147505-148683
YMR086C-A	YMR086C-A	chrXIII:442026-442364
YML035C	AMD1	chrXIII:206428-208860
YMR173W	DDR48	chrXIII:608689-609981
YMR194C-A	YMR194C-A	chrXIII:652912-653136
YMR093W	UTP15	chrXIII:454015-455556
YML036W	CGI121	chrXIII:205642-206293
YMR307W	GAS1	chrXIII:887003-888682
YML116W-A	YML116W-A	chrXIII:37472-37774
YMR021C	MAC1	chrXIII:317165-318418
YMR135C	GID8	chrXIII:538689-540056
YMR121C	RPL15B	chrXIII:509734-510348
YMR129W	POM152	chrXIII:527804-531817
YML066C	SMA2	chrXIII:140424-141533
YMR045C	YMR045C	chrXIII:357359-362627
YMR050C	YMR050C	chrXIII:373057-378325
YML045W	YML045W	chrXIII:184461-189729
YML040W	YML040W	chrXIII:196628-197950
YML045W-A	YML045W-A	chrXIII:184461-185783
YMR046C	YMR046C	chrXIII:361305-362627
YMR051C	YMR051C	chrXIII:377003-378325
YML039W	YML039W	chrXIII:196628-201896
YBR225W	YBR225W	chrII:670627-673329
YBR182C-A	YBR182C-A	chrII:595361-595555
YBL055C	YBL055C	chrII:115573-116829
YBR293W	VBA2	chrII:787006-788430
YBR223W-A	YBR223W-A	chrII:668721-668840
YBR115C	LYS2	chrII:469748-473926
YBR031W	RPL4A	chrII:300166-301254
YBL108C-A	PAU9	chrII:7605-7733
YBR116C	YBR116C	chrII:474199-474726
YBR241C	YBR241C	chrII:702589-704055
YBR182C	SMP1	chrII:593506-594864
YBR134W	YBR134W	chrII:504243-504644
YBL037W	APL3	chrII:147209-150286
YBR019C	GAL10	chrII:276253-278352
YBR022W	POA1	chrII:283738-284271
YBR121C-A	YBR121C-A	chrII:482326-482484
YBR119W	MUD1	chrII:479338-480323
YBL022C	PIM1	chrII:177874-181275
snR161	snR161	chrII:307185-307345
YBR243C	ALG7	chrII:705447-706793
YBR234C	ARC40	chrII:685438-686592
YBR179C	FZO1	chrII:586547-589114
YBR247C	ENP1	chrII:713004-714455
YBR124W	YBR124W	chrII:486507-486866
YBL086C	YBL086C	chrII:61202-62602
YBL065W	YBL065W	chrII:99963-100307
YBR227C	MCX1	chrII:673572-675134
YBR218C	PYC2	chrII:658707-662249
YBR244W	GPX2	chrII:707528-708016
YBR160W	CDC28	chrII:560078-560974
YBL080C	PET112	chrII:73070-74695
YBR083W	TEC1	chrII:409169-410629
YBR294W	SUL1	chrII:789235-791814
tI(AAU)B	tI(AAU)B	chrII:197494-197567
YBR091C	TIM12	chrII:427155-427484
YBR284W	YBR284W	chrII:771239-773632
YBR158W	AMN1	chrII:556549-558198
YBR111W-A	SUS1	chrII:462139-462579
YBL071C	YBL071C	chrII:90223-90531
YBR126W-B	YBR126W-B	chrII:490927-491070
YBR229C	ROT2	chrII:676357-679221
YBR042C	CST26	chrII:320416-321609
YBR150C	TBS1	chrII:541209-544493
YBR298C	MAL31	chrII:802631-804475
YBR143C	SUP45	chrII:530869-532182
YBR014C	GRX7	chrII:266725-267336
tS(AGA)B	tS(AGA)B	chrII:227075-227156
YBR259W	YBR259W	chrII:730387-732453
YBR060C	ORC2	chrII:360652-362514
YBR180W	DTR1	chrII:589741-591459
YBL034C	STU1	chrII:153848-158389
YBR212W	NGR1	chrII:647886-649904
YBR071W	YBR071W	chrII:380411-381046
YBL074C	AAR2	chrII:86722-87789
YBL107C	MIX23	chrII:9961-10551
YBR097W	VPS15	chrII:436951-441315
YBR136W	MEC1	chrII:505668-512774
YBR039W	ATP3	chrII:315575-316510
YBL089W	AVT5	chrII:49574-50953
YBL067C	UBP13	chrII:93639-95882
YBR270C	BIT2	chrII:742761-744398
YBR087W	RFC5	chrII:423765-424829
YBR121C	GRS1	chrII:481364-483367
YBR026C	ETR1	chrII:292877-294019
YBR197C	YBR197C	chrII:615203-615856
YBR027C	YBR027C	chrII:294024-294356
YBR177C	EHT1	chrII:584807-586162
YBR176W	ECM31	chrII:583720-584658
YBR230W-A	YBR230W-A	chrII:680362-680562
YBR090C	YBR090C	chrII:426333-427058
YBL071C-B	YBL071C-B	chrII:89458-89556
YBR064W	YBR064W	chrII:367763-368191
YBR044C	TCM62	chrII:324341-326059
YBL068W	PRS4	chrII:92414-93394
YBR216C	YBP1	chrII:655576-657600
YBR271W	EFM2	chrII:744852-746111
YBR084W	MIS1	chrII:411054-413981
YBR065C	ECM2	chrII:368584-369678
YBR245C	ISW1	chrII:708150-711539
YBR085W	AAC3	chrII:415983-416906
YBR059C	AKL1	chrII:356861-360187
YBR068C	BAP2	chrII:373861-375690
YBR285W	YBR285W	chrII:773922-774356
YBR041W	FAT1	chrII:318266-320275
YBR252W	DUT1	chrII:722611-723054
YBL082C	ALG3	chrII:69751-71127
YBL002W	HTB2	chrII:236492-236887
YBL098W	BNA4	chrII:39145-40527
YBR117C	TKL2	chrII:474392-476437
YBR214W	SDS24	chrII:651415-652998
YBR169C	SSE2	chrII:573915-575996
YBR207W	FTH1	chrII:635146-636543
YBR155W	CNS1	chrII:549771-550928
YBL106C	SRO77	chrII:10847-13879
YBR237W	PRP5	chrII:691969-694518
YBR193C	MED8	chrII:609082-609753
YBR149W	ARA1	chrII:539987-541021
YBR013C	YBR013C	chrII:265492-265881
YBL063W	KIP1	chrII:101886-105221
YBL029C-A	YBL029C-A	chrII:164488-164772
YBR147W	RTC2	chrII:536575-537465
YBR246W	RRT2	chrII:711591-712754
YBR002C	RER2	chrII:241708-242568
YBR023C	CHS3	chrII:284428-287925
YBL088C	TEL1	chrII:51019-59382
YBL064C	PRX1	chrII:100371-101156
YBL007C	SLA1	chrII:212632-216366
tL(UAA)B2	tL(UAA)B2	chrII:347603-347686
YBL093C	ROX3	chrII:44256-44918
YBL091C	MAP2	chrII:47363-48628
YBR142W	MAK5	chrII:528317-530638
YBR047W	FMP23	chrII:331833-332360
YBR238C	YBR238C	chrII:695107-697302
YBR067C	TIP1	chrII:372103-372735
YBR010W	HHT1	chrII:256331-256741
YBL054W	TOD6	chrII:117589-119166
YBR209W	YBR209W	chrII:642583-642900
YBL060W	YEL1	chrII:107932-109995
YBR089W	YBR089W	chrII:425183-425782
YBR025C	OLA1	chrII:290681-291865
YBR040W	FIG1	chrII:316968-317864
YBR230C	OM14	chrII:679549-680050
YBL027W	RPL19B	chrII:168423-169376
YBL100C	YBL100C	chrII:36989-37303
YBR261C	TAE1	chrII:734832-735530
YBR034C	HMT1	chrII:304930-305976
YBR101C	FES1	chrII:443821-444693
YBL010C	YBL010C	chrII:206107-206949
YBR053C	YBR053C	chrII:339675-340751
YBL059C-A	CMC2	chrII:110125-110539
YBR255C-A	RCF3	chrII:726618-727074
YBL042C	FUI1	chrII:138341-140260
YBL039C	URA7	chrII:143989-145728
YBR217W	ATG12	chrII:657832-658392
YBR200W-A	YBR200W-A	chrII:622983-623147
YBL003C	HTA2	chrII:235394-235792
YBR069C	TAT1	chrII:376574-378433
YBR056W-A	YBR056W-A	chrII:351255-351455
YBR009C	HHF1	chrII:255373-255684
YBL038W	MRPL16	chrII:146187-146885
YBR056C-B	YBR056C-B	chrII:351293-351451
YBR081C	SPT7	chrII:401253-405251
YBR007C	DSF2	chrII:248806-251016
YBR146W	MRPS9	chrII:535260-536096
YBR171W	SEC66	chrII:578364-578984
YBL028C	YBL028C	chrII:167518-167838
YBR135W	CKS1	chrII:504854-505306
YBR264C	YPT10	chrII:737770-738369
YBR043C	QDR3	chrII:321876-323945
YBL059W	YBL059W	chrII:110594-111244
YBR131W	CCZ1	chrII:497163-499277
YBR233W-A	DAD3	chrII:684977-685261
YBR092C	PHO3	chrII:427698-429101
YBR126C	TPS1	chrII:488905-490392
YBR057C	MUM2	chrII:352193-353293
YBR086C	IST2	chrII:420201-423041
YBR174C	YBR174C	chrII:582338-582652
snR56	snR56	chrII:88190-88277
YBR281C	DUG2	chrII:764970-767606
YBL103C	RTG3	chrII:22076-23536
tG(GCC)B	tG(GCC)B	chrII:197629-197699
YBR159W	IFA38	chrII:558685-559728
YBR118W	TEF2	chrII:477671-479047
YBL004W	UTP20	chrII:227636-235117
YBR163W	EXO5	chrII:565723-567480
YBL013W	FMT1	chrII:202056-203261
YBL112C	YBL112C	chrII:2582-2899
YBR231C	SWC5	chrII:682179-683090
YBL066C	SEF1	chrII:96669-100115
YBR008C	FLR1	chrII:252563-254209
YBL015W	ACH1	chrII:194122-195702
YBR038W	CHS2	chrII:311898-314789
YBL018C	POP8	chrII:185998-186474
YBR253W	SRB6	chrII:723270-723635
YBL068W-A	YBL068W-A	chrII:91794-92030
YBR058C	UBP14	chrII:353672-356017
YBL084C	CDC27	chrII:67169-69445
YBR224W	YBR224W	chrII:670125-670640
YBR077C	SLM4	chrII:391805-392293
YBL087C	RPL23A	chrII:59822-60739
YBR098W	MMS4	chrII:441515-443590
YBR239C	ERT1	chrII:698354-699943
YBR168W	PEX32	chrII:572371-573612
YBL046W	PSY4	chrII:132424-133749
YBR003W	COQ1	chrII:242809-244230
YBR215W	HPC2	chrII:653356-655317
LSR1	LSR1	chrII:680688-681862
YBL025W	RRN10	chrII:171481-171918
YBR105C	VID24	chrII:450881-451969
YBR200W	BEM1	chrII:620872-622527
YBR190W	YBR190W	chrII:605966-606277
YBR248C	HIS7	chrII:714807-716465
YBR145W	ADH5	chrII:533762-534817
YBL047C	EDE1	chrII:127895-132040
YBR099C	YBR099C	chrII:442924-443307
YBL014C	RRN6	chrII:199064-201748
YBR062C	YBR062C	chrII:365976-366600
YBL092W	RPL32	chrII:45978-46370
YBR240C	THI2	chrII:700490-701842
YBR251W	MRPS5	chrII:721390-722313
YBR199W	KTR4	chrII:618909-620303
YBR128C	ATG14	chrII:493081-494115
YBR139W	YBR139W	chrII:515664-517190
YBL070C	YBL070C	chrII:90605-90925
YBR054W	YRO2	chrII:343101-344135
YBL039W-B	YBL039W-B	chrII:143393-143572
YBR072W	HSP26	chrII:382030-382674
YBR111C	YSA1	chrII:461178-461873
YBL001C	ECM15	chrII:237153-237467
YBR110W	ALG1	chrII:458872-460221
YBL111C	YBL111C	chrII:2907-5009
YBL036C	YBL036C	chrII:150447-151220
tR(UCU)B	tR(UCU)B	chrII:405878-405949
YBL094C	YBL094C	chrII:43765-44097
YBR033W	EDS1	chrII:301944-304703
YBL073W	YBL073W	chrII:87646-87957
YBR096W	YBR096W	chrII:436021-436713
YBL053W	YBL053W	chrII:119335-119709
YBR030W	RKM3	chrII:298292-299950
YBL076C	ILS1	chrII:81043-84261
YBR256C	RIB5	chrII:727386-728102
YBR162W-A	YSY6	chrII:565231-565428
YBL077W	YBL077W	chrII:80897-81328
YBR156C	SLI15	chrII:551104-553200
YBL012C	YBL012C	chrII:203406-203807
YBL008W-A	YBL008W-A	chrII:209409-209648
YBR297W	MAL33	chrII:800523-801929
YBR189W	RPS9B	chrII:604508-605508
YBL096C	YBL096C	chrII:43174-43482
YBR011C	IPP1	chrII:257112-257975
YBL041W	PRE7	chrII:141247-141972
YBL081W	YBL081W	chrII:71866-72972
YBR089C-A	NHP6B	chrII:426190-426489
YBR103C-A	YBR103C-A	chrII:449320-449463
YBR296C	PHO89	chrII:796798-798522
YBL040C	ERD2	chrII:142112-142868
YBR165W	UBS1	chrII:568852-569685
YBL026W	LSM2	chrII:170623-171038
YBR082C	UBC4	chrII:406628-407169
YBR280C	SAF1	chrII:762784-764697
YBR061C	TRM7	chrII:364787-365719
YBL016W	FUS3	chrII:192451-193512
YBR175W	SWD3	chrII:582408-583355
YBR029C	CDS1	chrII:296369-297742
YBL057C	PTH2	chrII:112801-113427
YBR298C-A	YBR298C-A	chrII:805035-805256
YBR192W	RIM2	chrII:607652-608785
tQ(UUG)B	tQ(UUG)B	chrII:350827-350898
YBR302C	COS2	chrII:810340-811479
YBR254C	TRS20	chrII:723736-724263
YBR204C	LDH1	chrII:632254-633381
YBR220C	YBR220C	chrII:662995-664677
YBR222C	PCS60	chrII:666720-668351
YBR290W	BSD2	chrII:782591-783556
YBR162C	TOS1	chrII:563203-564570
YBR167C	POP7	chrII:571468-571890
YBL033C	RIB1	chrII:158656-159693
YBR228W	SLX1	chrII:675313-676227
YBR263W	SHM1	chrII:736264-737736
YBR250W	SPO23	chrII:719033-720604
YBR272C	HSM3	chrII:746361-747803
YBR120C	CBP6	chrII:480435-480923
YBR084C-A	RPL19A	chrII:414186-415261
YBL062W	YBL062W	chrII:105308-105688
YBR301W	PAU24	chrII:809057-809419
YBR076W	ECM8	chrII:390227-391291
YBR210W	ERV15	chrII:645550-645978
YBR106W	PHO88	chrII:452658-453224
YBR005W	RCR1	chrII:245906-246547
YBR153W	RIB7	chrII:547460-548194
YBR132C	AGP2	chrII:499652-501442
YBR166C	TYR1	chrII:569842-571200
YBR221W-A	YBR221W-A	chrII:666538-666642
YBR131C-A	YBR131C-A	chrII:497650-497739
YBR161W	CSH1	chrII:561634-562764
YBR109C	CMD1	chrII:457919-458362
